time,center_x,center_y,smooth_x,smooth_y,confidence
21:44:26.869647,334,285,334,285,0.703
21:44:27.079935,345,284,336.75,284.75,0.875
21:44:27.228614,337,284,336.81,284.56,0.87
21:44:27.339027,339,285,337.36,284.67,0.882
21:44:27.454629,337,285,337.27,284.75,0.889
21:44:27.561130,338,286,337.45,285.07,0.881
21:44:27.664259,328,284,335.09,284.8,0.898
21:44:27.813326,342,284,336.82,284.6,0.893
21:44:27.918707,339,286,337.36,284.95,0.892
21:44:28.057729,337,285,337.27,284.96,0.884
21:44:28.195890,339,286,337.7,285.22,0.886
21:44:28.471342,329,287,335.53,285.67,0.759
21:44:28.557278,310,283,329.15,285.0,0.775
21:44:28.645449,325,281,328.11,284.0,0.683
21:44:28.735858,324,281,327.08,283.25,0.83
21:44:28.820218,322,280,325.81,282.44,0.845
21:44:28.909247,298,278,318.86,281.33,0.829
21:44:29.009898,310,277,316.64,280.25,0.693
21:44:29.094021,299,276,312.23,279.18,0.775
21:44:29.175135,307,277,310.92,278.64,0.843
21:44:29.254793,305,277,309.44,278.23,0.811
21:44:29.333713,292,278,305.08,278.17,0.823
21:44:29.413201,309,277,306.06,277.88,0.828
21:44:29.491469,294,275,303.05,277.16,0.816
21:44:29.574247,305,275,303.53,276.62,0.784
21:44:29.656495,313,277,305.9,276.71,0.751
21:44:29.746395,308,277,306.43,276.79,0.82
21:44:29.828191,307,276,306.57,276.59,0.829
21:44:29.907386,309,276,307.18,276.44,0.809
